unknown;true value;Edge_e,Pit_e,WL_i
quality;;0.810Â±0.000
a-Fe2O3;3.0;2.88
akermanite;2.0;2.36
andradite;3.0;2.98
Aouelloul glass;2.3;2.13
Australite-1;2.11;2.04
Australite-2;2.0;2.03
Cambodianite;2.0;2.02
Darwin glass;2.0;2.1
Fe23O4;2.67;2.53
Fe2SiO4;2.0;2.29
Fe@SiO2_1;2.0;2.17
Fe@SiO2_2;2.0;2.02
Fe@SiO2_3;2.0;2.16
Fe@SiO2_4;2.0;2.13
Fe@SiO2_5;2.0;2.28
FeII fumarate;2.0;2.3
FeII siloxide;2.0;2.02
FeIII siloxide;3.0;2.31
g-Fe2O3;3.0;2.81
glass_0.01;2.0;2.02
glass_0.28;2.28;2.03
glass_0.54;2.54;2.06
glass_0.67;2.67;2.09
glass_0.87;2.87;2.27
grandidierite;2.0;2.05
h1;2.6;2.59
h10;2.55;2.21
h2;2.32;2.53
h3;2.2;2.44
h4;2.27;2.57
h5;2.5;2.74
h6;2.7;2.94
h7;2.5;2.39
h8;2.17;2.23
Indoshinite;2.06;2.04
Irghisite-1;2.3;2.06
Irghisite-2;nan;2.05
Irghizite;2.4;2.55
kirschsteinite;2.0;2.05
Lybian desert glass;2.8;2.19
Moldavite-1;2.13;2.04
Moldavite-2;2.15;2.02
Muong-Nong-1;nan;2.02
Muong-Nong-2;2.19;2.03
NaFeSi2O6;3.0;2.62
Ries suevite;2.3;2.27
siderite;2.0;2.06
staurolite;2.0;2.14
Wabar glass;2.2;2.38
yoderite;3.0;2.62
Zhamanshinite-1;2.33;2.26
Zhamanshinite-3;nan;2.22
Zhamanshinite-4;2.84;2.43
Zhamanshinite-5;nan;2.04
quality by exp;1;0.438
